checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,24,allpaid,business,3161,<100,1<=X<4,4,malesingle,none,2,lifeinsurance,31,none,rent,1,skilled,1,yes,yes,bad
0<=X<200,48,nocredits/allpaid,other,18424,<100,1<=X<4,1,femalediv/dep/mar,none,2,lifeinsurance,32,bank,own,1,highqualif/selfemp/mgmt,1,yes,no,bad
nochecking,10,existingpaid,usedcar,2848,100<=X<500,1<=X<4,1,malesingle,coapplicant,2,realestate,32,none,own,1,skilled,2,none,yes,good
<0,6,existingpaid,newcar,14896,<100,>=7,1,malesingle,none,4,noknownproperty,68,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,24,existingpaid,furniture/equipment,2359,100<=X<500,unemployed,1,malediv/sep,none,1,lifeinsurance,33,none,own,1,skilled,1,none,yes,bad
<0,24,existingpaid,furniture/equipment,3345,<100,>=7,4,malesingle,none,2,lifeinsurance,39,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,18,critical/otherexistingcredit,furniture/equipment,1817,<100,1<=X<4,4,femalediv/dep/mar,none,2,noknownproperty,28,none,own,2,skilled,1,none,yes,good
nochecking,48,delayedpreviously,radio/tv,12749,500<=X<1000,4<=X<7,4,malesingle,none,1,car,37,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,9,existingpaid,radio/tv,1366,<100,<1,3,femalediv/dep/mar,none,4,lifeinsurance,22,none,rent,1,skilled,1,none,yes,bad
0<=X<200,12,existingpaid,newcar,2002,<100,4<=X<7,3,malesingle,none,4,lifeinsurance,30,none,rent,1,skilled,2,yes,yes,good
<0,24,allpaid,furniture/equipment,6872,<100,<1,2,malediv/sep,none,1,lifeinsurance,55,bank,own,1,skilled,1,yes,yes,bad
<0,12,allpaid,newcar,697,<100,<1,4,malesingle,none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
<0,18,critical/otherexistingcredit,furniture/equipment,1049,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,21,none,rent,1,skilled,1,none,yes,good
<0,48,existingpaid,usedcar,10297,<100,4<=X<7,4,malesingle,none,4,noknownproperty,39,stores,forfree,3,skilled,2,yes,yes,bad
nochecking,30,existingpaid,radio/tv,1867,noknownsavings,>=7,4,malesingle,none,4,car,58,none,own,1,skilled,1,yes,yes,good
<0,12,delayedpreviously,newcar,1344,<100,1<=X<4,4,malesingle,none,2,realestate,43,none,own,2,unskilledresident,2,none,yes,good
<0,24,existingpaid,furniture/equipment,1747,<100,<1,4,malesingle,coapplicant,1,lifeinsurance,24,none,own,1,unskilledresident,1,none,no,good
0<=X<200,9,existingpaid,radio/tv,1670,<100,<1,4,femalediv/dep/mar,none,2,car,22,none,own,1,skilled,1,yes,yes,bad
nochecking,9,critical/otherexistingcredit,newcar,1224,<100,1<=X<4,3,malesingle,none,1,realestate,30,none,own,2,skilled,1,none,yes,good
nochecking,12,critical/otherexistingcredit,radio/tv,522,500<=X<1000,>=7,4,malesingle,none,4,lifeinsurance,42,none,own,2,skilled,2,yes,yes,good
<0,12,existingpaid,radio/tv,1498,<100,1<=X<4,4,femalediv/dep/mar,none,1,car,23,bank,own,1,skilled,1,none,yes,good
0<=X<200,30,delayedpreviously,radio/tv,1919,100<=X<500,<1,4,malesingle,none,3,noknownproperty,30,stores,own,2,highqualif/selfemp/mgmt,1,none,yes,bad
>=200,9,existingpaid,radio/tv,745,<100,1<=X<4,3,femalediv/dep/mar,none,2,realestate,28,none,own,1,unskilledresident,1,none,yes,bad
0<=X<200,6,existingpaid,radio/tv,2063,<100,<1,4,malemar/wid,none,3,car,30,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,60,existingpaid,education,6288,<100,1<=X<4,4,malesingle,none,4,noknownproperty,42,none,forfree,1,skilled,1,none,yes,bad
nochecking,24,critical/otherexistingcredit,usedcar,6842,noknownsavings,1<=X<4,2,malesingle,none,4,lifeinsurance,46,none,own,2,highqualif/selfemp/mgmt,2,yes,yes,good
nochecking,12,existingpaid,newcar,3527,noknownsavings,<1,2,malesingle,none,3,lifeinsurance,45,none,own,1,highqualif/selfemp/mgmt,2,yes,yes,good
nochecking,10,existingpaid,newcar,1546,<100,1<=X<4,3,malesingle,none,2,realestate,31,none,own,1,unskilledresident,2,none,no,good
nochecking,24,existingpaid,furniture/equipment,929,noknownsavings,4<=X<7,4,malesingle,none,2,car,31,stores,own,1,skilled,1,yes,yes,good
nochecking,4,critical/otherexistingcredit,newcar,1455,<100,4<=X<7,2,malesingle,none,1,realestate,42,none,own,3,unskilledresident,2,none,yes,good
<0,15,existingpaid,furniture/equipment,1845,<100,<1,4,femalediv/dep/mar,guarantor,1,lifeinsurance,46,none,rent,1,skilled,1,none,yes,good
0<=X<200,48,nocredits/allpaid,newcar,8358,500<=X<1000,<1,1,femalediv/dep/mar,none,1,car,30,none,own,2,skilled,1,none,yes,good
<0,24,allpaid,furniture/equipment,3349,500<=X<1000,<1,4,malesingle,none,4,noknownproperty,30,none,forfree,1,skilled,2,yes,yes,bad
nochecking,12,existingpaid,newcar,2859,noknownsavings,unemployed,4,malesingle,none,4,noknownproperty,38,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,18,existingpaid,furniture/equipment,1533,<100,<1,4,malemar/wid,coapplicant,1,lifeinsurance,43,none,own,1,unskilledresident,2,none,yes,bad
nochecking,24,existingpaid,radio/tv,3621,100<=X<500,>=7,2,malesingle,none,4,car,31,none,own,2,skilled,1,none,yes,bad
0<=X<200,18,critical/otherexistingcredit,business,3590,<100,unemployed,3,malemar/wid,none,3,car,40,none,own,3,unemp/unskillednonres,2,yes,yes,good
<0,36,delayedpreviously,business,2145,<100,4<=X<7,2,malesingle,none,1,car,24,none,own,2,skilled,1,yes,yes,bad
0<=X<200,24,existingpaid,usedcar,4113,500<=X<1000,<1,3,femalediv/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,bad
nochecking,36,existingpaid,furniture/equipment,10974,<100,unemployed,4,femalediv/dep/mar,none,2,car,26,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,12,existingpaid,newcar,1893,<100,1<=X<4,4,femalediv/dep/mar,guarantor,4,lifeinsurance,29,none,own,1,skilled,1,yes,yes,good
<0,24,critical/otherexistingcredit,radio/tv,1231,>=1000,>=7,4,femalediv/dep/mar,none,4,lifeinsurance,57,none,rent,2,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,30,critical/otherexistingcredit,radio/tv,3656,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,49,stores,own,2,unskilledresident,1,none,yes,good
0<=X<200,9,critical/otherexistingcredit,radio/tv,1154,<100,>=7,2,malesingle,none,4,realestate,37,none,own,3,unskilledresident,1,none,yes,good
<0,28,existingpaid,newcar,4006,<100,1<=X<4,3,malesingle,none,2,car,45,none,own,1,unskilledresident,1,none,yes,bad
0<=X<200,24,existingpaid,furniture/equipment,3069,100<=X<500,>=7,4,malesingle,none,4,noknownproperty,30,none,forfree,1,skilled,1,none,yes,good
nochecking,6,critical/otherexistingcredit,radio/tv,1740,<100,>=7,2,malemar/wid,none,2,realestate,30,none,rent,2,skilled,1,none,yes,good
0<=X<200,21,delayedpreviously,newcar,2353,<100,1<=X<4,1,malediv/sep,none,4,lifeinsurance,47,none,own,2,skilled,1,none,yes,good
nochecking,15,existingpaid,newcar,3556,noknownsavings,1<=X<4,3,malesingle,none,2,noknownproperty,29,none,own,1,skilled,1,none,yes,good
nochecking,24,existingpaid,radio/tv,2397,500<=X<1000,>=7,3,malesingle,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad
0<=X<200,6,existingpaid,repairs,454,<100,<1,3,malemar/wid,none,1,lifeinsurance,22,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,30,existingpaid,radio/tv,1715,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,1,car,26,none,own,1,skilled,1,none,yes,good
0<=X<200,27,critical/otherexistingcredit,radio/tv,2520,500<=X<1000,1<=X<4,4,malesingle,none,2,lifeinsurance,23,none,own,2,unskilledresident,1,none,yes,bad
nochecking,15,existingpaid,radio/tv,3568,<100,>=7,4,femalediv/dep/mar,none,2,car,54,bank,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,42,existingpaid,radio/tv,7166,noknownsavings,4<=X<7,2,malemar/wid,none,4,lifeinsurance,29,none,rent,1,skilled,1,yes,yes,good
<0,11,critical/otherexistingcredit,newcar,3939,<100,1<=X<4,1,malesingle,none,2,realestate,40,none,own,2,unskilledresident,2,none,yes,good
0<=X<200,15,existingpaid,repairs,1514,100<=X<500,1<=X<4,4,malesingle,guarantor,2,realestate,22,none,own,1,skilled,1,none,yes,good
nochecking,24,existingpaid,newcar,7393,<100,1<=X<4,1,malesingle,none,4,lifeinsurance,43,none,own,1,unskilledresident,2,none,yes,good
<0,24,allpaid,newcar,1193,<100,unemployed,1,femalediv/dep/mar,coapplicant,4,noknownproperty,29,none,rent,2,unemp/unskillednonres,1,none,yes,bad
<0,60,existingpaid,business,7297,<100,>=7,4,malesingle,coapplicant,4,noknownproperty,36,none,rent,1,skilled,1,none,yes,bad
nochecking,30,critical/otherexistingcredit,radio/tv,2831,<100,1<=X<4,4,femalediv/dep/mar,none,2,car,33,none,own,1,skilled,1,yes,yes,good
>=200,24,existingpaid,radio/tv,1258,500<=X<1000,1<=X<4,3,femalediv/dep/mar,none,3,car,57,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,6,existingpaid,radio/tv,753,<100,1<=X<4,2,femalediv/dep/mar,guarantor,3,realestate,64,none,own,1,skilled,1,none,yes,good
0<=X<200,18,delayedpreviously,business,2427,noknownsavings,>=7,4,malesingle,none,2,lifeinsurance,42,none,own,2,skilled,1,none,yes,good
nochecking,24,delayedpreviously,newcar,2538,<100,>=7,4,malesingle,none,4,car,47,none,own,2,unskilledresident,2,none,yes,bad
0<=X<200,15,allpaid,newcar,1264,100<=X<500,1<=X<4,2,malemar/wid,none,2,lifeinsurance,25,none,rent,1,skilled,1,none,yes,bad
0<=X<200,30,critical/otherexistingcredit,furniture/equipment,8386,<100,4<=X<7,2,malesingle,none,2,lifeinsurance,49,none,own,1,skilled,1,none,yes,bad
nochecking,48,existingpaid,business,4844,<100,unemployed,3,malesingle,none,2,car,33,bank,rent,1,highqualif/selfemp/mgmt,1,yes,yes,bad
>=200,21,existingpaid,newcar,2923,100<=X<500,1<=X<4,1,femalediv/dep/mar,none,1,car,28,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,36,existingpaid,usedcar,8229,<100,1<=X<4,2,malesingle,none,2,lifeinsurance,26,none,own,1,skilled,2,none,yes,bad
nochecking,24,critical/otherexistingcredit,furniture/equipment,2028,<100,4<=X<7,2,malesingle,none,2,lifeinsurance,30,none,own,2,unskilledresident,1,none,yes,good
<0,15,critical/otherexistingcredit,furniture/equipment,1433,<100,1<=X<4,4,femalediv/dep/mar,none,3,lifeinsurance,25,none,rent,2,skilled,1,none,yes,good
>=200,42,nocredits/allpaid,business,6289,<100,<1,2,malediv/sep,none,1,lifeinsurance,33,none,own,2,skilled,1,none,yes,good
nochecking,13,existingpaid,radio/tv,1409,100<=X<500,unemployed,2,femalediv/dep/mar,none,4,realestate,64,none,own,1,skilled,1,none,yes,good
<0,24,existingpaid,usedcar,6579,<100,unemployed,4,malesingle,none,2,noknownproperty,29,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,24,critical/otherexistingcredit,radio/tv,1743,<100,>=7,4,malesingle,none,2,lifeinsurance,48,none,own,2,unskilledresident,1,none,yes,good
nochecking,12,critical/otherexistingcredit,education,3565,noknownsavings,<1,2,malesingle,none,1,lifeinsurance,37,none,own,2,unskilledresident,2,none,yes,good
nochecking,15,allpaid,radio/tv,1569,100<=X<500,>=7,4,malesingle,none,4,car,34,bank,own,1,unskilledresident,2,none,yes,good
<0,18,existingpaid,radio/tv,1936,noknownsavings,4<=X<7,2,malemar/wid,none,4,car,23,none,rent,2,unskilledresident,1,none,yes,good
<0,36,existingpaid,furniture/equipment,3959,<100,unemployed,4,malesingle,none,3,lifeinsurance,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,newcar,2390,noknownsavings,>=7,4,malesingle,none,3,car,50,none,own,1,skilled,1,yes,yes,good
nochecking,12,existingpaid,furniture/equipment,1736,<100,4<=X<7,3,femalediv/dep/mar,none,4,realestate,31,none,own,1,unskilledresident,1,none,yes,good
<0,30,existingpaid,usedcar,3857,<100,1<=X<4,4,malediv/sep,none,4,lifeinsurance,40,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,radio/tv,804,<100,>=7,4,malesingle,none,4,car,38,none,own,1,skilled,1,none,yes,good
<0,45,existingpaid,radio/tv,1845,<100,1<=X<4,4,malesingle,none,4,noknownproperty,23,none,forfree,1,skilled,1,yes,yes,bad
0<=X<200,45,critical/otherexistingcredit,usedcar,4576,100<=X<500,unemployed,3,malesingle,none,4,car,27,none,own,1,skilled,1,none,yes,good
